Position,Overall,Player,Team (Bye),Avg Pick,High,Low,Std Dev,% Drafted
WR93,277,Dyami Brown,JAC,477.07,150,480,29.09,1%
WR94,278,Devaughn Vele,DEN,477.45,151,480,27.66,0%
RB89,279,Isaiah Davis,NYJ,477.46,165,480,25.48,1%
RB90,280,Emari Demercado,ARI,477.58,201,480,24.39,1%
WR95,281,Kayshon Boutte,NE,477.76,202,480,24.31,0%
WR96,282,Brandin Cooks,NO,477.83,205,480,23.54,0%
WR97,283,KaVontae Turpin,DAL,477.85,190,480,23.62,0%
DST21,284,New England Patriots,NE,477.91,164,480,23.24,0%
RB91,285,Tahj Brooks,CIN,477.96,224,480,22.13,0%
RB92,286,Dameon Pierce,HOU,477.99,225,480,21.8,0%
RB93,287,Michael Carter,ARI,478.0,202,480,22.24,0%
RB94,288,Ty Johnson,BUF,478.0,229,480,21.74,0%
RB95,289,Tyler Badie,DEN,478.01,203,480,22.11,0%
RB96,290,Zack Moss,CIN,478.01,220,480,21.67,0%
RB97,291,Kenny McIntosh,SEA,478.02,204,480,21.99,0%
K20,292,Joshua Karty,LAR,478.11,208,480,20.39,1%
TE30,293,Dalton Schultz,HOU,478.21,191,480,21.92,0%
WR98,294,Savion Williams,GB,478.22,175,480,22.02,0%
RB98,295,LeQuint Allen Jr.,JAC,478.4,215,480,19.75,0%
TE31,296,Harold Fannin Jr.,CLE,478.42,219,480,19.2,0%
RB99,297,Alexander Mattison,MIA,478.45,226,480,18.9,0%
QB29,298,Russell Wilson,NYG,478.47,72,480,22.2,0%
RB100,299,Craig Reynolds,DET,478.47,205,480,19.17,0%
TE32,300,Chig Okonkwo,TEN,478.62,144,480,19.68,0%
WR99,301,Tim Patrick,DET,478.74,203,480,17.77,0%
WR100,302,Nick Westbrook-Ikhine,MIA,478.74,212,480,17.63,0%
WR101,303,Roman Wilson,PIT,478.76,222,480,17.47,0%
WR102,304,Tez Johnson,TB,478.8,228,480,16.87,0%
WR103,305,Gabe Davis,,478.8,223,480,16.88,0%
WR104,306,Demarcus Robinson,SF,478.81,216,480,16.93,0%
DST22,307,Indianapolis Colts,IND,478.88,172,480,16.9,0%
TE33,308,Ja'Tavion Sanders,CAR,478.88,230,480,15.9,0%
RB101,309,Ty Chandler,MIN,478.89,234,480,15.62,0%
RB102,310,Chris Brooks,GB,478.9,245,480,15.41,0%
RB103,311,Raheim Sanders,LAC,478.91,231,480,15.38,0%
RB104,312,Corey Kiner,SF,478.94,207,480,15.5,0%
RB105,313,Chris Rodriguez Jr.,WAS,478.95,247,480,14.83,0%
RB106,314,Emanuel Wilson,GB,478.96,250,480,14.58,0%
K21,315,Jason Myers,SEA,479.14,160,480,15.1,0%
WR105,316,Tyler Lockett,TEN,479.16,221,480,14.4,0%
DST23,317,Arizona Cardinals,ARI,479.19,150,480,14.87,0%
QB30,318,Aaron Rodgers,,479.2,127,480,15.33,0%
TE34,319,Oronde Gadsden II,LAC,479.21,179,480,14.07,0%
WR106,320,Mike Williams,LAC,479.22,246,480,13.34,0%
TE35,321,Juwan Johnson,NO,479.23,202,480,13.52,0%
QB31,322,Joe Flacco,CLE,479.23,145,480,14.6,0%
WR107,323,Samson Nacua,,479.24,29,480,18.55,0%
RB107,324,Jacory Croskey-Merritt,WAS,479.26,236,480,12.74,0%
QB32,325,Daniel Jones,IND,479.27,141,480,14.43,0%
RB108,326,Donovan Edwards,NYJ,479.27,246,480,12.55,0%
DST24,327,Chicago Bears,CHI,479.28,225,480,12.64,0%
RB109,328,Phil Mafah,DAL,479.28,232,480,12.55,0%
QB33,329,Jaxson Dart,NYG,479.29,240,480,12.38,0%
RB110,330,Samaje Perine,CIN,479.29,249,480,12.29,0%
K22,331,Eddy Pineiro,,479.29,254,480,11.94,0%
WR108,332,Troy Franklin,DEN,479.29,229,480,12.44,0%
QB34,333,Mason Rudolph,PIT,479.29,144,480,14.21,0%
RB111,334,Zamir White,LV,479.3,251,480,12.07,0%
QB35,335,Shedeur Sanders,CLE,479.33,171,480,13.19,0%
DST25,336,Washington Commanders,WAS,479.34,224,480,11.92,0%
WR109,337,Allen Lazard,NYJ,479.34,213,480,12.07,0%
DST26,338,Atlanta Falcons,ATL,479.35,237,480,11.59,0%
QB36,339,Tyler Shough,NO,479.35,188,480,12.6,0%
DST27,340,Cincinnati Bengals,CIN,479.36,235,480,11.48,0%
TE36,341,Theo Johnson,NYG,479.39,211,480,11.65,0%
RB112,342,Cordarrelle Patterson,PIT,479.4,255,480,10.66,0%
RB113,343,Pierre Strong Jr.,CLE,479.41,258,480,10.51,0%
RB114,344,Deuce Vaughn,DAL,479.41,259,480,10.46,0%
TE37,345,Taysom Hill,NO,479.42,249,480,10.57,0%
RB115,346,Chris Evans,,479.42,140,480,13.99,0%
RB116,347,Dylan Laube,LV,479.42,263,480,10.25,0%
RB117,348,Jase McClellan,ATL,479.43,265,480,10.14,0%
RB118,349,Julius Chestnut,TEN,479.44,266,480,10.06,0%
QB37,350,Kirk Cousins,ATL,479.45,223,480,10.96,0%
RB119,351,Jamaal Williams,,479.45,268,480,9.93,0%
WR110,352,Brennan Eagles,,479.46,233,480,10.61,0%
QB38,353,Kenny Pickett,CLE,479.48,214,480,11.08,0%
K23,354,Cam Little,JAC,479.48,179,480,12.39,0%
RB120,355,Darrell Henderson Jr.,,479.48,173,480,12.63,0%
QB39,356,Spencer Rattler,NO,479.52,240,480,10.03,0%
WR111,357,Malik Washington,MIA,479.59,240,480,9.87,0%
WR112,358,Elijah Moore,BUF,479.62,257,480,9.17,0%
WR113,359,Christian Watson,GB,479.63,261,480,9.01,0%
WR114,360,Jermaine Burton,CIN,479.63,262,480,8.97,0%
WR115,361,Parker Washington,JAC,479.63,263,480,8.93,0%
WR116,362,Jordan Whittington,LAR,479.65,271,480,8.6,0%
WR117,363,Tre Tucker,LV,479.65,273,480,8.51,0%
WR118,364,Tory Horton,SEA,479.65,276,480,8.39,0%
WR119,365,Jalen Nailor,MIN,479.66,278,480,8.31,0%
WR120,366,Tai Felton,MIN,479.67,287,480,7.94,0%
WR121,367,Antwane Wells Jr.,NYG,479.68,293,480,7.69,0%
WR122,368,John Metchie III,HOU,479.69,295,480,7.61,0%
WR123,369,Isaac TeSlaa,DET,479.69,297,480,7.53,0%
WR124,370,Luke McCaffrey,WAS,479.69,299,480,7.45,0%
WR125,371,Theo Wease Jr.,MIA,479.7,301,480,7.36,0%
RB121,372,Jonathon Brooks,CAR,479.71,306,480,7.16,0%
RB122,373,Israel Abanikanda,SF,479.72,312,480,6.91,0%
RB123,374,Jeremy McNichols,WAS,479.72,313,480,6.87,0%
WR126,375,Ray-Ray McCloud III,ATL,479.72,314,480,6.83,0%
RB124,376,Ameer Abdullah,,479.73,318,480,6.66,0%
RB125,377,Trey Sermon,PIT,479.73,319,480,6.62,0%
RB126,378,Ja'Quinden Jackson,JAC,479.73,320,480,6.58,0%
WR127,379,Tutu Atwell,LAR,479.73,321,480,6.54,0%
WR128,380,Marquez Valdes-Scantling,SEA,479.73,322,480,6.5,0%
WR129,381,Mack Hollins,NE,479.73,323,480,6.46,0%
RB127,382,Chris Tyree,NO,479.74,324,480,6.42,0%
RB128,383,A.J. Dillon,PHI,479.74,325,480,6.38,0%
WR130,384,Devontez Walker,BAL,479.74,327,480,6.29,0%
